Country,Latitude,Longitude
Albania,41.153332,20.168331
Algeria,28.033886,1.659626
Angola,-11.202692,17.873887
Argentina,-38.416097,-63.61667199999999
Armenia,40.069099,45.038189
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Bahamas,25.03428,-77.39627999999999
Bahrain,26.0667,50.5577
Bangladesh,23.684994,90.356331
Belarus,53.709807,27.953389
Belgium,50.503887,4.469936
Botswana,-22.328474,24.684866
Brazil,-14.235004,-51.92528
Bulgaria,42.733883,25.48583
Burkina Faso,12.238333,-1.561593
Burundi,-3.373056,29.918886
Cameroon,7.369721999999999,12.354722
Canada,56.130366,-106.346771
Central African Republic,6.611110999999999,20.939444
Chile,-35.675147,-71.542969
Colombia,4.570868,-74.297333
Croatia,45.1,15.2
Denmark,56.26392,9.501785
Dominican Republic,18.735693,-70.162651
Ecuador,-1.831239,-78.18340599999999
Egypt,26.820553,30.802498
El Salvador,13.794185,-88.89653
Eritrea,15.179384,39.782334
Estonia,58.595272,25.013607
Finland,61.92410999999999,25.748151
France,46.227638,2.213749
Germany,51.165691,10.451526
Ghana,7.946527,-1.023194
Greece,39.074208,21.824312
Guatemala,15.783471,-90.23075899999999
Guinea,9.945587,-9.696645
Guyana,4.860416,-58.93018
Haiti,18.971187,-72.285215
Honduras,15.199999,-86.241905
Hungary,47.162494,19.503304
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iraq,33.223191,43.679291
Ireland,53.77975540000001,-7.3055309
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
Latvia,56.879635,24.603189
Lebanon,33.854721,35.862285
Lesotho,-29.609988,28.233608
Libya,26.3351,17.228331
Lithuania,55.169438,23.881275
Madagascar,-18.766947,46.869107
Malawi,-13.254308,34.301525
Malaysia,4.210484,101.975766
Mali,17.570692,-3.996166
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.55215200000001
Mexico,23.634501,-102.552784
Montenegro,42.708678,19.37439
Morocco,31.791702,-7.092619999999999
Mozambique,-18.665695,35.529562
Namibia,-22.95764,18.49041
Nepal,28.394857,84.12400799999999
Netherlands,52.132633,5.291265999999999
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Norway,60.47202399999999,8.468945999999999
Pakistan,30.375321,69.34511599999999
Papua New Guinea,-6.314992999999999,143.95555
Peru,-9.189967,-75.015152
Poland,51.919438,19.145136
Portugal,39.39987199999999,-8.224454
Qatar,25.354826,51.183884
Romania,45.943161,24.96676
Rwanda,-1.940278,29.873888
Saudi Arabia,23.885942,45.079162
Senegal,14.497401,-14.452362
Slovenia,46.151241,14.995463
South Africa,-30.559482,22.937506
Spain,40.46366700000001,-3.74922
Sri Lanka,7.873053999999999,80.77179699999999
Sudan,12.862807,30.217636
Suriname,3.919305,-56.027783
Sweden,60.12816100000001,18.643501
Switzerland,46.818188,8.227511999999999
Tajikistan,38.861034,71.276093
Thailand,15.870032,100.992541
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Uganda,1.373333,32.290275
Ukraine,48.379433,31.16558
United Kingdom,55.378051,-3.435973
Uruguay,-32.522779,-55.765835
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
